;;places;Horaire;Nuit;Longitude;Latitude;Carte;gmap;debarcadere
Guy à René-Lévesque;<a href='https://maps.google.com/maps?q=45.493788,-73.574463'><img src='https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.574463,45.493788)/-73.574463,45.493788,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw' alt='Guy à René-Lévesque'></a>;1;2h<br>1er Avril au 31 Octobre;<span style='padding:0.5em'>À vos risques</span>;-73.574463;45.493788;https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.574463,45.493788)/-73.574463,45.493788,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw;https://maps.google.com/maps?q=45.4937882,-73.574463;FAUX
Saint-Antoine à Guy;<a href='https://maps.google.com/maps?q=45.492849,-73.571969'><img src='https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.571969,45.492849)/-73.571969,45.492849,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw' alt='Saint-Antoine à Guy'></a>;6;2h;<span style='padding:0.5em'>À vos risques</span>;-73.571969;45.492849;https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.571969,45.492849)/-73.571969,45.492849,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw;https://maps.google.com/maps?q=45.4928492,-73.571969;FAUX
Peel à Square Dorchester;<a href='https://maps.google.com/maps?q=45.499229,-73.571132'><img src='https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.571132,45.499229)/-73.571132,45.499229,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw' alt='Peel à Square Dorchester'></a>;2;2h;<span style='padding:0.5em'>À vos risques</span>;-73.571132;45.499229;https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.571132,45.499229)/-73.571132,45.499229,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw;https://maps.google.com/maps?q=45.4992292,-73.571132;FAUX
De la Cathédrale à Notre-Dame;<a href='https://maps.google.com/maps?q=45.4961128,-73.5626981'><img src='https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.5626981,45.4961128)/-73.5626981,45.4961128,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw' alt='De la Cathédrale à Notre-Dame'></a>;4;2h;<span style='padding:0.5em'>À vos risques</span>;-73.5626981;45.4961128;https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.5626981,45.4961128)/-73.5626981,45.4961128,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw;https://maps.google.com/maps?q=45.49611282,-73.5626981;FAUX
Place du frère André et René-Lévesque;<a href='https://maps.google.com/maps?q=45.503248,-73.566779'><img src='https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.566779,45.503248)/-73.566779,45.503248,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw' alt='Place du frère André et René-Lévesque'></a>;2;2h<br>10h à Minuit;<span style='padding:0.5em'>Oui</span>;-73.566779;45.503248;https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.566779,45.503248)/-73.566779,45.503248,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw;https://maps.google.com/maps?q=45.5032482,-73.566779;FAUX
De la Gauchetière et Robert-Bourassa (côté Nord);<a href='https://maps.google.com/maps?q=45.5001098,-73.5650745'><img src='https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.5650745,45.5001098)/-73.5650745,45.5001098,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw' alt='De la Gauchetière et Robert-Bourassa (côté Nord)'></a>;1;15m;<span style='padding:0.5em'>À vos risques</span>;-73.5650745;45.5001098;https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.5650745,45.5001098)/-73.5650745,45.5001098,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw;https://maps.google.com/maps?q=45.50010982,-73.5650745;VRAI
De la Gauchetière et Robert-Bourassa (côté Sud);<a href='https://maps.google.com/maps?q=45.5002391,-73.5654869'><img src='https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.5654869,45.5002391)/-73.5654869,45.5002391,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw' alt='De la Gauchetière et Robert-Bourassa (côté Sud)'></a>;3;2h;<span style='padding:0.5em'>À vos risques</span>;-73.5654869;45.5002391;https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.5654869,45.5002391)/-73.5654869,45.5002391,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw;https://maps.google.com/maps?q=45.50023912,-73.5654869;FAUX
De la Montagne à St-Antoine;<a href='https://maps.google.com/maps?q=45.4952627,-73.5692648'><img src='https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.5692648,45.4952627)/-73.5692648,45.4952627,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw' alt='De la Montagne à St-Antoine'></a>;2;2h;<span style='padding:0.5em'>À vos risques</span>;-73.5692648;45.4952627;https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.5692648,45.4952627)/-73.5692648,45.4952627,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw;https://maps.google.com/maps?q=45.49526272,-73.5692648;FAUX
Mansfield à de la Gauchetière;<a href='https://maps.google.com/maps?q=45.4991166,-73.567014'><img src='https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.567014,45.4991166)/-73.567014,45.4991166,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw' alt='Mansfield à de la Gauchetière'></a>;2;2h;<span style='padding:0.5em'>À vos risques</span>;-73.567014;45.4991166;https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.567014,45.4991166)/-73.567014,45.4991166,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw;https://maps.google.com/maps?q=45.49911662,-73.567014;FAUX
Mansfield à Sherbrooke;<a href='https://maps.google.com/maps?q=45.4999736,-73.5688941'><img src='https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.5688941,45.4999736)/-73.5688941,45.4999736,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw' alt='Mansfield à Sherbrooke'></a>;2;24h;<span style='padding:0.5em'>Oui</span>;-73.5688941;45.4999736;https://api.mapbox.com/v4/mapbox.high-contrast/pin-l-parking+ff2600(-73.5688941,45.4999736)/-73.5688941,45.4999736,17/640x320@2x.png?access_token=pk.eyJ1IjoieG9icGFtNjY2IiwiYSI6ImNqZnBiY3E0ZTBmbDUzM3FvMjZta3IxZWYifQ.Y8TVWK0bfi0mRBnz8cMLdw;https://maps.google.com/maps?q=45.49997362,-73.5688941;FAUX
