nom;places;horaire;longitude;latitude;gmap;debarcadere
Guy à René-Lévesque;1;2h<br>1er Avril au 31 Octobre;-73.574463;45.493788;https://maps.google.com/maps?q=45.4937882,-73.574463;FAUX
Saint-Antoine à Guy;6;2h;-73.571969;45.492849;https://maps.google.com/maps?q=45.4928492,-73.571969;FAUX
Peel à Square Dorchester;2;2h;-73.571132;45.499229;https://maps.google.com/maps?q=45.4992292,-73.571132;FAUX
De la Cathédrale à Notre-Dame;4;2h;-73.5626981;45.4961128;https://maps.google.com/maps?q=45.49611282,-73.5626981;FAUX
Place du frère André et René-Lévesque;2;2h<br>10h à Minuit;-73.566779;45.503248;https://maps.google.com/maps?q=45.5032482,-73.566779;FAUX
De la Gauchetière et Robert-Bourassa (côté Nord);1;15m;-73.5650745;45.5001098;https://maps.google.com/maps?q=45.50010982,-73.5650745;VRAI
De la Gauchetière et Robert-Bourassa (côté Sud);3;2h;-73.5654869;45.5002391;https://maps.google.com/maps?q=45.50023912,-73.5654869;FAUX
De la Montagne à St-Antoine;2;2h;-73.5692648;45.4952627;https://maps.google.com/maps?q=45.49526272,-73.5692648;FAUX
Mansfield à de la Gauchetière;2;2h;-73.567014;45.4991166;https://maps.google.com/maps?q=45.49911662,-73.567014;FAUX
Mansfield à Sherbrooke;2;24h;-73.5688941;45.4999736;https://maps.google.com/maps?q=45.49997362,-73.5688941;FAUX
Saint-Jacques à Robert-Bourassa;3;2h;-73.5624378;45.4995325;https://maps.google.com/maps?q=45.49953252,-73.5624378;FAUX
Des Pins et Coloniale;1;2h;-73.5740805;45.5162627;https://maps.google.com/maps?q=45.51626272,-73.5740805;FAUX
Des Pins et Drolet;1;2h;-73.5723474;45.5179372;https://maps.google.com/maps?q=45.51793722,-73.5723474;FAUX
Cherrier et Saint-Denis;2;2h<br>15 mai au 15 octobre;-73.5697891;45.5188532;https://maps.google.com/maps?q=45.51885322,-73.5697891;FAUX
Saint-Antoine et Saint-Laurent;2;8h à 18h 60m<br>18h à minuit 2h;-73.556859;45.5081649;https://maps.google.com/maps?q=45.50816492,-73.556859;FAUX
Wolfe et Viger;2;L-V 11h à 19h 2h;-73.5521966;45.5159319;https://maps.google.com/maps?q=45.51593192,-73.5521966;FAUX
Guy entre Saint-Antoine et René-Lévesque;2;24h;-73.5734199;45.4931824;https://maps.google.com/maps?q=45.49318242,-73.5734199;FAUX
Mansfield à René-Lévesque;2;24h;-73.5688197;45.4999712;https://maps.google.com/maps?q=45.49997122,-73.5688197;FAUX
Square Dorchester;4;24h;-73.5710864;45.4991532;https://maps.google.com/maps?q=45.49915322,-73.5710864;FAUX
Duluth à du Parc;3;24h;-73.5819443;45.5139956;https://maps.google.com/maps?q=45.51399562,-73.5819443;FAUX
Crescent et Sherbrooke;1;Débarcadère;-73.5789556;45.4987534;https://maps.google.com/maps?q=45.49875342,-73.5789556;VRAI
Square Dorchester et Infotouriste;4;Débarcadère;-73.5714932;45.5000284;https://maps.google.com/maps?q=45.50002842,-73.5714932;VRAI
Metcalf et de Maisonneuve;1;1er avril au 15 octobre<br> Débarcadère;45.5015168;45.5015168;https://maps.google.com/maps?q=45.50151682,45.5015168;VRAI
Union;2;1er avril au 15 octobre<br> Débarcadère;-73.5694112;45.5038243;https://maps.google.com/maps?q=45.50382432,-73.5694112;VRAI
De la Commune à Pointe-à-Callière;2;Débarcadère;-73.5537958;45.5022683,;https://maps.google.com/maps?q=45.5022683,2,-73.5537958;VRAI
De la Commune à marché Bonsecourt;3;Débarcadère;-73.5505455;45.5095264;https://maps.google.com/maps?q=45.50952642,-73.5505455;VRAI
De la Commune à Saint-Laurent;2;;-73.5531543;45.5053196;https://maps.google.com/maps?q=45.50531962,-73.5531543;FAUX
Centre des Sciences de Montréal;;Débarcadère;-73.5506396;45.5049937;https://maps.google.com/maps?q=45.50499372,-73.5506396;VRAI
Vieux-Port;;24h<br>20$;-73.5477335;45.5104079;https://maps.google.com/maps?q=45.51040792,-73.5477335;FAUX
Gare Viger;;24h<br>Max 18$;-73.5527059;45.5128776;https://maps.google.com/maps?q=45.51287762,-73.5527059;FAUX
Gare d'autocars;;24h<br>60$;-73.5631628;45.5168048;https://maps.google.com/maps?q=45.51680482,-73.5631628;FAUX
